Regione;Anno;Arrivi
Piemonte;2008;72531
Piemonte;2009;77626
Piemonte;2010;87681
Piemonte;2011;103404
Valle d'Aosta;2008;8087
Valle d'Aosta;2009;7452
Valle d'Aosta;2010;8300
Valle d'Aosta;2011;10144
Lombardia;2008;78738
Lombardia;2009;84247
Lombardia;2010;94364
Lombardia;2011;110319
Trentino-Alto Adige;2008;290487
Trentino-Alto Adige;2009;313066
Trentino-Alto Adige;2010;332119
Trentino-Alto Adige;2011;360459
Veneto;2008;130968
Veneto;2009;139776
Veneto;2010;160906
Veneto;2011;183731
Friuli-Venezia Giulia;2008;39466
Friuli-Venezia Giulia;2009;44832
Friuli-Venezia Giulia;2010;49156
Friuli-Venezia Giulia;2011;57724
Liguria;2008;31163
Liguria;2009;42374
Liguria;2010;43207
Liguria;2011;49825
Emilia-Romagna;2008;71503
Emilia-Romagna;2009;72123
Emilia-Romagna;2010;81803
Emilia-Romagna;2011;95161
Toscana;2008;557616
Toscana;2009;562375
Toscana;2010;574674
Toscana;2011;628424
Umbria;2008;248094
Umbria;2009;241615
Umbria;2010;258182
Umbria;2011;285259
Marche;2008;65070
Marche;2009;89793
Marche;2010;121698
Marche;2011;144849
Lazio;2008;24579
Lazio;2009;21876
Lazio;2010;29047
Lazio;2011;28417
Abruzzo;2008;23898
Abruzzo;2009;20206
Abruzzo;2010;20665
Abruzzo;2011;23295
Molise;2008;3491
Molise;2009;4144
Molise;2010;4570
Molise;2011;6932
Campania;2008;44794
Campania;2009;42759
Campania;2010;39588
Campania;2011;39539
Puglia;2008;53012
Puglia;2009;57024
Puglia;2010;67276
Puglia;2011;71144
Basilicata;2008;22207
Basilicata;2009;20469
Basilicata;2010;21506
Basilicata;2011;20957
Calabria;2008;12555
Calabria;2009;13625
Calabria;2010;13035
Calabria;2011;16185
Sicilia;2008;88613
Sicilia;2009;85165
Sicilia;2010;91005
Sicilia;2011;99863
Sardegna;2008;11620
Sardegna;2009;13231
Sardegna;2010;11318
Sardegna;2011;7456
