Regione;Anno;Arrivi
Piemonte;2008;347706
Piemonte;2009;458225
Piemonte;2010;439864
Piemonte;2011;440316
Valle d'Aosta;2008;63321
Valle d'Aosta;2009;110842
Valle d'Aosta;2010;104394
Valle d'Aosta;2011;102279
Lombardia;2008;518386
Lombardia;2009;584152
Lombardia;2010;559221
Lombardia;2011;592636
Trentino-Alto Adige;2008;485681
Trentino-Alto Adige;2009;525268
Trentino-Alto Adige;2010;512021
Trentino-Alto Adige;2011;541949
Veneto;2008;2189168
Veneto;2009;2308185
Veneto;2010;2270177
Veneto;2011;2403353
Friuli-Venezia Giulia;2008;201215
Friuli-Venezia Giulia;2009;218292
Friuli-Venezia Giulia;2010;217962
Friuli-Venezia Giulia;2011;239436
Liguria;2008;354800
Liguria;2009;380850
Liguria;2010;352259
Liguria;2011;377371
Emilia-Romagna;2008;615027
Emilia-Romagna;2009;629480
Emilia-Romagna;2010;593031
Emilia-Romagna;2011;632459
Toscana;2008;1272759
Toscana;2009;1295725
Toscana;2010;1253666
Toscana;2011;1346991
Umbria;2008;100050
Umbria;2009;88642
Umbria;2010;87918
Umbria;2011;92713
Marche;2008;276683
Marche;2009;292124
Marche;2010;302637
Marche;2011;341387
Lazio;2008;471476
Lazio;2009;471246
Lazio;2010;487984
Lazio;2011;475313
Abruzzo;2008;170069
Abruzzo;2009;138879
Abruzzo;2010;162639
Abruzzo;2011;173090
Molise;2008;9784
Molise;2009;6789
Molise;2010;5946
Molise;2011;10580
Campania;2008;409509
Campania;2009;399081
Campania;2010;386650
Campania;2011;341736
Puglia;2008;386291
Puglia;2009;402514
Puglia;2010;430833
Puglia;2011;448738
Basilicata;2008;29857
Basilicata;2009;30620
Basilicata;2010;32395
Basilicata;2011;43915
Calabria;2008;125713
Calabria;2009;118693
Calabria;2010;121462
Calabria;2011;133625
Sicilia;2008;194393
Sicilia;2009;210667
Sicilia;2010;169985
Sicilia;2011;167734
Sardegna;2008;409665
Sardegna;2009;447165
Sardegna;2010;424910
Sardegna;2011;362365
