Regione;Anno;Presenze
Piemonte;2008;7499879
Piemonte;2009;7167700
Piemonte;2010;8026222
Piemonte;2011;8272766
Piemonte;2012;8102503
Valle d'Aosta;2008;2313543
Valle d'Aosta;2009;2240428
Valle d'Aosta;2010;2221175
Valle d'Aosta;2011;2285096
Valle d'Aosta;2012;2290443
Lombardia;2008;22749427
Lombardia;2009;23380379
Lombardia;2010;24771419
Lombardia;2011;26384596
Lombardia;2012;26417628
Trentino-Alto Adige;2008;33654681
Trentino-Alto Adige;2009;33956606
Trentino-Alto Adige;2010;34372838
Trentino-Alto Adige;2011;34487900
Trentino-Alto Adige;2012;34730644
Veneto;2008;28593859
Veneto;2009;27748548
Veneto;2010;28292030
Veneto;2011;29989927
Veneto;2012;29565599
Friuli-Venezia Giulia;2008;3692535
Friuli-Venezia Giulia;2009;3699625
Friuli-Venezia Giulia;2010;3740626
Friuli-Venezia Giulia;2011;3909903
Friuli-Venezia Giulia;2012;3895290
Liguria;2008;10006181
Liguria;2009;9581104
Liguria;2010;9468836
Liguria;2011;9616896
Liguria;2012;9150379
Emilia-Romagna;2008;30568521
Emilia-Romagna;2009;30175226
Emilia-Romagna;2010;29807436
Emilia-Romagna;2011;30603273
Emilia-Romagna;2012;29536857
Toscana;2008;21771763
Toscana;2009;21215900
Toscana;2010;22182661
Toscana;2011;23295433
Toscana;2012;22703649
Umbria;2008;3214309
Umbria;2009;2968175
Umbria;2010;3012560
Umbria;2011;3198689
Umbria;2012;3033765
Marche;2008;6583932
Marche;2009;5676822
Marche;2010;5393023
Marche;2011;5455452
Marche;2012;5221592
Lazio;2008;26628665
Lazio;2009;25582535
Lazio;2010;25663343
Lazio;2011;25767817
Lazio;2012;25767817
Abruzzo;2008;5122867
Abruzzo;2009;4648677
Abruzzo;2010;4947108
Abruzzo;2011;4969132
Abruzzo;2012;4836807
Molise;2008;396557
Molise;2009;397254
Molise;2010;383157
Molise;2011;416106
Molise;2012;335235
Campania;2008;13378562
Campania;2009;12775084
Campania;2010;13683540
Campania;2011;14843685
Campania;2012;14460297
Puglia;2008;7242319
Puglia;2009;7431035
Puglia;2010;7662513
Puglia;2011;8165337
Puglia;2012;8086148
Basilicata;2008;1292030
Basilicata;2009;1336444
Basilicata;2010;1333817
Basilicata;2011;1340650
Basilicata;2012;1287038
Calabria;2008;6854596
Calabria;2009;6851608
Calabria;2010;6580842
Calabria;2011;6879827
Calabria;2012;6668275
Sicilia;2008;11731914
Sicilia;2009;11541885
Sicilia;2010;11243531
Sicilia;2011;11730215
Sicilia;2012;11836277
Sardegna;2008;8382167
Sardegna;2009;8243072
Sardegna;2010;8311799
Sardegna;2011;8298152
Sardegna;2012;7683900
