Regione;Anno;Presenze
Piemonte;2008;2163489
Piemonte;2009;2498432
Piemonte;2010;2326871
Piemonte;2011;2416541
Valle d'Aosta;2008;342426
Valle d'Aosta;2009;428923
Valle d'Aosta;2010;417943
Valle d'Aosta;2011;366228
Lombardia;2008;3199708
Lombardia;2009;3551883
Lombardia;2010;3617652
Lombardia;2011;3683605
Trentino-Alto Adige;2008;2841635
Trentino-Alto Adige;2009;3028746
Trentino-Alto Adige;2010;2936899
Trentino-Alto Adige;2011;3084769
Veneto;2008;16375944
Veneto;2009;17036047
Veneto;2010;16921024
Veneto;2011;17448082
Friuli-Venezia Giulia;2008;1914507
Friuli-Venezia Giulia;2009;1918128
Friuli-Venezia Giulia;2010;1846574
Friuli-Venezia Giulia;2011;1945453
Liguria;2008;2248587
Liguria;2009;2445450
Liguria;2010;2282928
Liguria;2011;2323926
Emilia-Romagna;2008;5080074
Emilia-Romagna;2009;5232040
Emilia-Romagna;2010;5029244
Emilia-Romagna;2011;5139068
Toscana;2008;9666887
Toscana;2009;9816292
Toscana;2010;9448245
Toscana;2011;9399999
Umbria;2008;619060
Umbria;2009;583380
Umbria;2010;514289
Umbria;2011;574587
Marche;2008;2525460
Marche;2009;3105652
Marche;2010;3231076
Marche;2011;3348938
Lazio;2008;2681297
Lazio;2009;2612416
Lazio;2010;2682222
Lazio;2011;2558244
Abruzzo;2008;1901319
Abruzzo;2009;1544985
Abruzzo;2010;1779162
Abruzzo;2011;1841586
Molise;2008;153933
Molise;2009;85776
Molise;2010;49113
Molise;2011;142783
Campania;2008;4657682
Campania;2009;4597540
Campania;2010;4256427
Campania;2011;4014480
Puglia;2008;3344896
Puglia;2009;3400686
Puglia;2010;3631197
Puglia;2011;3591297
Basilicata;2008;432629
Basilicata;2009;414776
Basilicata;2010;410630
Basilicata;2011;473918
Calabria;2008;1393722
Calabria;2009;1318724
Calabria;2010;1311764
Calabria;2011;1353065
Sicilia;2008;939070
Sicilia;2009;948380
Sicilia;2010;853123
Sicilia;2011;801634
Sardegna;2008;2740811
Sardegna;2009;2878742
Sardegna;2010;2749010
Sardegna;2011;2354255
