Regione;Anno;Arrivi
Piemonte;2008;2747466
Piemonte;2009;2948253
Piemonte;2010;3193461
Piemonte;2011;3290535
Piemonte;2012;3349225
Valle d'Aosta;2008;640600
Valle d'Aosta;2009;644967
Valle d'Aosta;2010;657016
Valle d'Aosta;2011;687158
Valle d'Aosta;2012;703934
Lombardia;2008;9810628
Lombardia;2009;10327646
Lombardia;2010;11185997
Lombardia;2011;12007473
Lombardia;2012;12214834
Trentino-Alto Adige;2008;6949384
Trentino-Alto Adige;2009;7095442
Trentino-Alto Adige;2010;7273594
Trentino-Alto Adige;2011;7454559
Trentino-Alto Adige;2012;7637967
Veneto;2008;9782997
Veneto;2009;9476154
Veneto;2010;10087719
Veneto;2011;10964737
Veneto;2012;10980763
Friuli-Venezia Giulia;2008;1316663
Friuli-Venezia Giulia;2009;1318153
Friuli-Venezia Giulia;2010;1340778
Friuli-Venezia Giulia;2011;1401381
Friuli-Venezia Giulia;2012;1409728
Liguria;2008;2946839
Liguria;2009;2906018
Liguria;2010;2946105
Liguria;2011;3046795
Liguria;2012;2912645
Emilia-Romagna;2008;7659323
Emilia-Romagna;2009;7558161
Emilia-Romagna;2010;7708061
Emilia-Romagna;2011;8033750
Emilia-Romagna;2012;7897017
Toscana;2008;7806676
Toscana;2009;7586118
Toscana;2010;8138074
Toscana;2011;8509277
Toscana;2012;8451566
Umbria;2008;1522032
Umbria;2009;1385057
Umbria;2010;1445238
Umbria;2011;1546618
Umbria;2012;1499047
Marche;2008;1509980
Marche;2009;1471781
Marche;2010;1544288
Marche;2011;1571360
Marche;2012;1500922
Lazio;2008;9563012
Lazio;2009;9172374
Lazio;2010;9184443
Lazio;2011;9205659
Lazio;2012;9205659
Abruzzo;2008;1355162
Abruzzo;2009;1114383
Abruzzo;2010;1218822
Abruzzo;2011;1290697
Abruzzo;2012;1272312
Molise;2008;167106
Molise;2009;160370
Molise;2010;157106
Molise;2011;173468
Molise;2012;145121
Campania;2008;3912331
Campania;2009;3782588
Campania;2010;4008532
Campania;2011;4347605
Campania;2012;4091497
Puglia;2008;2261875
Puglia;2009;2275722
Puglia;2010;2348192
Puglia;2011;2428566
Puglia;2012;2383238
Basilicata;2008;388500
Basilicata;2009;390487
Basilicata;2010;409854
Basilicata;2011;409843
Basilicata;2012;407595
Calabria;2008;1351338
Calabria;2009;1353431
Calabria;2010;1261300
Calabria;2011;1306156
Calabria;2012;1297195
Sicilia;2008;3667805
Sicilia;2009;3541810
Sicilia;2010;3467843
Sicilia;2011;3624253
Sicilia;2012;3656771
Sardegna;2008;1805023
Sardegna;2009;1821863
Sardegna;2010;1797723
Sardegna;2011;1755879
Sardegna;2012;1627745
