"num_componenti";"circ_1";"circ_2";"circ_3";"circ_4";"circ_5";"circ_6";"circ_7";"circ_8"
1;27328;30092;31189;24363;24874;21626;23649;32860
2;9731;19293;17125;13026;17010;13492;10577;17382
3;4870;10170;8861;6834;8894;7175;5404;8712
4;3244;6279;5515;4285;6057;4869;3499;5620
5;703;1254;1020;917;1472;1698;1017;1291
6;121;309;198;210;448;622;294;287
7;37;82;58;50;113;213;102;81
8;12;26;10;13;34;62;44;21
9;8;6;4;4;16;32;5;7
10;2;4;2;3;7;6;5;3
11;;3;;2;1;3;3;
12;;;;;2;4;;
13;1;1;;;2;2;1;
14;;;;;;2;;
15;;;;;;1;;
16;;;;;;1;;
17;;;;;;1;;
